Year,Distance,Engine_capacity(cm3),Age,km_year
2005,113714.0,2000.0,17,6689.058823529412
2013,82000.0,2000.0,9,9111.111111111111
2016,42000.0,2000.0,6,7000.0
2007,258222.0,2000.0,15,17214.8
2010,223500.0,2000.0,12,18625.0
1995,371298.0,4200.0,27,13751.777777777776
1992,11111.0,1800.0,30,370.3666666666667
2013,168523.0,1400.0,9,18724.777777777777
2008,173000.0,1200.0,14,12357.142857142857
2012,225000.0,1500.0,10,22500.0
2015,225000.0,1461.0,7,32142.85714285714
2011,112000.0,1500.0,11,10181.818181818182
2015,130000.0,999.0,7,18571.42857142857
2001,11111.0,2200.0,21,529.0952380952381
2005,341528.0,2400.0,17,20089.88235294117
2014,199000.0,2143.0,8,24875.0
2014,109301.0,1170.0,8,13662.625
2015,188000.0,2000.0,7,26857.14285714286
1985,230000.0,2500.0,37,6216.216216216216
2014,215000.0,3000.0,8,26875.0
2009,161200.0,2497.0,13,12400.0
2014,157000.0,1400.0,8,19625.0
